"teryt";"rok";"l_mieszk"
140608;2010;8374
140609;2010;4700
140611;2010;19062
140701;2010;5301
140702;2010;7514
140703;2010;4162
140704;2010;3923
140705;2010;30906
140706;2010;6733
140707;2010;4140
140801;2010;53430
140802;2010;16275
140803;2010;12802
140804;2010;12794
140805;2010;11306
140901;2010;2554
140902;2010;5864
140903;2010;11726
140904;2010;4701
140905;2010;6217
140906;2010;5416
141001;2010;3036
141002;2010;11167
141003;2010;3137
141004;2010;5229
141005;2010;5098
141006;2010;5076
141101;2010;10274
141102;2010;2692
141103;2010;5433
141104;2010;6651
141105;2010;1780
141106;2010;5843
141107;2010;4517
141108;2010;2759
141109;2010;3520
141110;2010;3818
141201;2010;39314
141204;2010;6243
141205;2010;9103
141206;2010;6031
141207;2010;14165
141208;2010;5050
141209;2010;6054
141210;2010;5510
141211;2010;13927
141212;2010;8740
141213;2010;7301
141214;2010;6498
141215;2010;19204
141301;2010;30843
141302;2010;3398
141303;2010;5011
141304;2010;3630
141305;2010;7964
141306;2010;5129
141307;2010;4565
141308;2010;4746
141309;2010;4269
141310;2010;5390
141401;2010;28131
141402;2010;9409
141403;2010;5347
141404;2010;19650
141405;2010;8926
141406;2010;6276
141501;2010;6883
141502;2010;2773
141503;2010;5213
141504;2010;8747
141505;2010;11444
141506;2010;8817
141507;2010;8387
141508;2010;10646
141509;2010;10022
141510;2010;9639
141511;2010;4939
141601;2010;22986
141602;2010;4479
141603;2010;2847
141604;2010;2942
141605;2010;12243
141606;2010;3074
141607;2010;12944
141608;2010;3952
141609;2010;1841
141610;2010;4556
141611;2010;3879
141701;2010;19383
141702;2010;44740
141703;2010;11399
141704;2010;15990
141705;2010;8079
141706;2010;3493
141707;2010;6314
141708;2010;10902
141801;2010;25372
141802;2010;24839
141803;2010;20517
141804;2010;71706
141805;2010;9576
141806;2010;11049
141901;2010;9138
141902;2010;8429
141903;2010;8129
141904;2010;5860
141905;2010;8485
141906;2010;10981
141907;2010;5193
141908;2010;6273
141909;2010;3997
141910;2010;8027
141911;2010;4636
141912;2010;6551
141913;2010;10980
141914;2010;7581
141915;2010;5897
142001;2010;22600
142002;2010;4673
142003;2010;8213
142004;2010;7941
142005;2010;3905
142006;2010;2613
142007;2010;6675
142008;2010;4813
142009;2010;7423
142010;2010;8855
142011;2010;5962
142012;2010;5707
142101;2010;22972
142102;2010;58083
142103;2010;23481
142104;2010;16680
142105;2010;11659
142106;2010;21055
142201;2010;17439
142202;2010;10407
142203;2010;3949
142204;2010;7393
142205;2010;3896
142206;2010;3666
142207;2010;7430
142301;2010;4575
142302;2010;4779
142303;2010;3535
142304;2010;4090
142305;2010;4330
142306;2010;12602
142307;2010;4417
142308;2010;5483
142401;2010;3959
142402;2010;4878
142403;2010;4855
142404;2010;23911
142405;2010;4766
142406;2010;4098
142407;2010;4813
142501;2010;19892
142502;2010;8295
142503;2010;15446
142504;2010;6678
142505;2010;13899
142506;2010;12114
142507;2010;11448
142508;2010;10003
142509;2010;7229
142510;2010;13922
142511;2010;10133
142512;2010;8555
142513;2010;12001
142601;2010;2696
142602;2010;2946
142603;2010;8572
142604;2010;5207
142605;2010;6225
142606;2010;2769
142607;2010;3593
142608;2010;16790
142609;2010;7496
142610;2010;4747
142611;2010;5902
142612;2010;4711
142613;2010;10142
142701;2010;18807
142702;2010;6125
142703;2010;6168
142704;2010;4285
142705;2010;7018
142706;2010;4461
142707;2010;7044
142801;2010;38208
142802;2010;4296
142803;2010;6332
142804;2010;5585
142805;2010;6289
142806;2010;3476
142807;2010;9696
142808;2010;11299
142901;2010;18829
142902;2010;3829
142903;2010;2417
142904;2010;4951
142905;2010;6664
142906;2010;5758
142907;2010;3989
142908;2010;6108
142909;2010;4473
143001;2010;6226
143002;2010;5241
143003;2010;3899
143004;2010;5903
143005;2010;19577
143201;2010;20774
143202;2010;10182
143203;2010;4204
143204;2010;9688
143205;2010;23794
143206;2010;21326
143207;2010;16918
143301;2010;12836
143302;2010;4606
143303;2010;6656
143304;2010;7642
143305;2010;17969
143306;2010;4114
143307;2010;6189
143308;2010;5275
143309;2010;3053
143401;2010;19866
143402;2010;26866
143403;2010;28577
143404;2010;17416
143405;2010;7561
143406;2010;7723
143407;2010;9277
143408;2010;6025
143409;2010;22397
143410;2010;2925
143411;2010;19187
143412;2010;51091
143501;2010;8504
143502;2010;7964
143503;2010;6958
143504;2010;5573
143505;2010;38919
143506;2010;5729
143601;2010;4714
143602;2010;5860
143603;2010;6453
143604;2010;4918
143605;2010;15424
143701;2010;5352
143702;2010;4941
143703;2010;7202
143704;2010;4626
143705;2010;3703
143706;2010;14785
143801;2010;41616
143802;2010;11503
143803;2010;8382
143804;2010;5174
143805;2010;9834
146101;2010;53619
146201;2010;124691
146301;2010;221658
146401;2010;76303
146501;2010;1700112
160101;2010;37528
160102;2010;7576
160103;2010;19854
160104;2010;13630
160105;2010;8982
160106;2010;5017
160201;2010;6337
160202;2010;7155
160203;2010;23506
160204;2010;11523
160301;2010;64306
160302;2010;7751
160303;2010;6018
160304;2010;8121
160305;2010;4433
160306;2010;8271
160401;2010;9670
160402;2010;37174
160403;2010;7088
160404;2010;14192
160501;2010;12497
160502;2010;23739
160503;2010;7579
160504;2010;5635
160505;2010;16494
160601;2010;3755
160602;2010;25809
160603;2010;5452
160604;2010;3584
160605;2010;4676
160701;2010;25290
160702;2010;3728
160703;2010;9328
160704;2010;7896
160705;2010;58761
160706;2010;14143
160707;2010;13426
160708;2010;3764
