kod_nts;wojewodztwo;nazwa_powiatu;rok2003;rok2007;rok2011;rok2015
3203909000;20;sejneński;1822,33;2279,12;3182,20;3564,40
3203912000;20;suwalski;1863,45;2190,91;2695,75;3120,95
3203963000;20;m. Suwałki;1929,57;2297,74;2950,60;3435,66
3265204000;26;kielecki;1969,39;2270,27;2836,55;3246,51
3265205000;26;konecki;1758,59;2206,84;2916,44;3355,31
3265207000;26;ostrowiecki;1769,95;2240,51;2974,89;3342,45
3265210000;26;skarżyski;1921,53;2556,94;3001,61;3448,29
3265211000;26;starachowicki;1713,37;2130,58;2826,27;3387,74
3265261000;26;m. Kielce;2233,43;2655,81;3381,09;3845,52
3265301000;26;buski;1842,15;2272,20;2825,85;3301,87
3265302000;26;jędrzejowski;2053,04;2516,14;3361,44;3900,83
3265303000;26;kazimierski;1647,02;2059,36;2740,14;3142,99
3265306000;26;opatowski;2092,70;2449,52;2869,20;3255,65
3265308000;26;pińczowski;2452,95;2650,13;3002,74;3349,30
3265309000;26;sandomierski;2017,92;2678,36;3324,91;3665,14
3265312000;26;staszowski;2060,74;2546,78;3328,52;3760,61
3265313000;26;włoszczowski;2012,95;2465,81;3050,54;3510,22
4081301000;08;gorzowski;2097,63;2650,26;3276,48;3818,44
4081303000;08;międzyrzecki;1842,27;2285,92;2988,21;3466,06
4081305000;08;słubicki;2087,91;2264,63;3068,31;3534,54
4081306000;08;strzelecko-drezdenecki;1882,31;2354,42;3030,54;3552,74
4081307000;08;sulęciński;1650,09;1954,43;2620,65;3019,27
4081361000;08;m. Gorzów Wielkopolski;2047,51;2492,60;3091,83;3532,91
4081402000;08;krośnieński;1868,10;2389,68;3026,18;3503,74
4081404000;08;nowosolski;1754,94;2127,09;2976,30;3507,98
4081408000;08;świebodziński;1736,40;2226,14;2858,26;3455,57
4081409000;08;zielonogórski;1947,03;2475,25;3073,28;3699,79
4081410000;08;żagański;1751,22;2132,21;2719,65;3249,08
4081411000;08;żarski;1984,90;2526,79;3276,98;3712,82
4081412000;08;wschowski;1668,68;2138,36;2822,65;3233,14
4081462000;08;m. Zielona Góra;2286,63;2767,01;3247,30;3731,67
4305706000;30;jarociński;1636,09;1985,67;2547,56;2898,12
4305707000;30;kaliski;1716,31;2048,71;2665,26;3035,70
4305708000;30;kępiński;1436,35;1762,77;2224,07;2568,52
4305712000;30;krotoszyński;1730,17;2171,84;2635,10;2931,62
4305717000;30;ostrowski;1790,22;2303,28;2896,13;3357,37
4305718000;30;ostrzeszowski;1823,04;2223,45;2875,32;3338,34
4305720000;30;pleszewski;1631,76;2044,54;2722,15;3308,08
4305761000;30;m. Kalisz;2096,01;2418,10;3030,68;3532,30
4305803000;30;gnieźnieński;1886,79;2282,85;2874,23;3386,42
4305809000;30;kolski;2235,05;2608,69;3387,32;3696,10
4305810000;30;koniński;2500,50;2693,75;3178,62;3319,18
4305823000;30;słupecki;1758,66;2165,49;2783,93;3171,47
4305827000;30;turecki;2034,12;2290,49;2958,85;2999,24
4305830000;30;wrzesiński;1723,17;2207,24;2816,34;3406,61
4305862000;30;m. Konin;2387,14;2717,53;3397,78;3790,14
4305904000;30;gostyński;1928,06;2296,05;3004,76;3415,02
4305905000;30;grodziski;1763,47;1992,12;2639,86;2931,27
4305911000;30;kościański;1816,09;2256,12;2855,66;3398,70
4305913000;30;leszczyński;2072,76;2550,36;3194,85;3812,62
4305914000;30;międzychodzki;1706,89;2153,50;2790,82;3207,93
4305915000;30;nowotomyski;1854,88;2397,58;3038,62;3547,42
4305922000;30;rawicki;1582,02;1898,14;2574,75;3045,68
4305929000;30;wolsztyński;1623,09;2180,60;2594,94;3189,94
4305963000;30;m. Leszno;1967,31;2276,53;2892,51;3427,70
4306001000;30;chodzieski;1694,80;2295,79;2860,30;3488,04
4306002000;30;czarnkowsko-trzcianecki;1881,73;2340,56;3009,40;3506,61
4306019000;30;pilski;1994,10;2567,82;3186,50;3569,05
4306028000;30;wągrowiecki;1786,06;2143,67;2897,22;3346,90
4306031000;30;złotowski;1656,12;2192,99;2788,01;3114,52
4306116000;30;obornicki;1965,92;2347,03;3031,88;3620,93
4306121000;30;poznański;2170,03;2596,78;3313,05;3697,14
4306124000;30;szamotulski;2071,78;2548,57;3268,61;3975,80
4306125000;30;średzki;1995,66;2548,58;3195,94;3626,56
4306126000;30;śremski;1920,25;2214,05;2893,71;3250,33
4306264000;30;m. Poznań;2504,90;3156,71;3987,13;4549,11
4326301000;32;białogardzki;1791,92;2194,67;2939,20;3394,74
4326308000;32;kołobrzeski;1887,39;2336,90;2952,43;3391,16
4326309000;32;koszaliński;1895,26;2296,30;2999,02;3430,31
4326313000;32;sławieński;1736,90;2124,21;2796,72;3120,70
